id,game_id,player_id,team_id,timeOnIce,assists,goals,pim,shots,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShotsAgainst,evenShotsAgainst,powerPlayShotsAgainst,decision,savePercentage,powerPlaySavePercentage,evenStrengthSavePercentage
210,2015020528,8471306,2,3550,0,0,0,37,35,5,0,30,0,32,5,L,94.59459459,100,93.75
211,2017020953,8475215,7,3592,0,0,0,35,31,2,0,29,0,32,3,L,88.57142857,66.66666667,90.625
212,2017020953,8475831,15,3600,0,0,0,29,28,1,0,27,0,28,1,W,96.55172414,100,96.42857143
213,2017020952,8470860,2,3499,0,0,0,33,31,4,0,27,0,29,4,L,93.93939394,100,93.10344828
214,2017020952,8476234,1,3600,0,0,0,31,30,2,1,27,1,28,2,W,96.77419355,100,96.42857143
215,2017020562,8475683,29,3900,0,0,0,37,33,4,0,29,0,31,6,L,89.18918919,66.66666667,93.5483871
216,2017020562,8476899,5,3900,0,0,0,33,29,4,3,22,3,26,4,W,87.87878788,100,84.61538462
217,2017021081,8476234,1,3593,0,0,0,42,39,9,2,28,2,29,11,W,92.85714286,81.81818182,96.55172414
218,2017021081,8476509,54,2249,0,0,0,17,13,1,1,11,1,14,2,,76.47058824,50,78.57142857
219,2017021081,8470594,54,1351,0,0,0,11,7,0,0,7,1,10,0,L,63.63636364,NA,70
220,2017020955,8474636,52,3600,1,0,0,36,33,7,0,26,0,29,7,W,91.66666667,100,89.65517241
221,2017020955,8471750,25,1649,0,0,0,6,5,0,1,4,1,5,0,,83.33333333,NA,80
222,2017020955,8470140,25,1919,0,0,0,21,17,1,2,14,2,17,2,L,80.95238095,50,82.35294118
223,2016020305,8471306,2,3546,0,0,0,28,25,2,0,23,0,26,2,L,89.28571429,100,88.46153846
224,2016020305,8477180,28,3600,0,0,0,28,26,0,0,26,0,27,1,W,92.85714286,0,96.2962963
225,2017021218,8471418,6,3720,0,0,0,24,20,1,2,17,2,21,1,L,83.33333333,100,80.95238095
226,2017021218,8475852,4,3816,0,0,0,39,36,7,0,29,0,31,8,W,92.30769231,87.5,93.5483871
227,2016020425,8473575,21,3600,1,0,0,52,51,9,0,42,0,42,10,W,98.07692308,90,100
228,2016020425,8477312,10,3422,0,0,0,28,26,2,3,21,3,21,4,L,92.85714286,50,100
229,2017020058,8474651,15,3600,0,0,0,23,21,4,0,17,0,18,5,W,91.30434783,80,94.44444444
230,2017020058,8471239,1,3600,0,0,0,28,23,4,0,19,0,21,7,L,82.14285714,57.14285714,90.47619048
231,2016020650,8474636,52,3673,0,0,0,38,35,5,1,29,1,32,5,L,92.10526316,100,90.625
232,2016020650,8469514,26,3678,0,0,0,28,26,3,1,22,1,22,5,W,92.85714286,60,100
233,2017020614,8467950,9,3515,0,0,0,35,33,0,1,32,1,34,0,L,94.28571429,NA,94.11764706
234,2017020614,8470657,17,3606,0,0,0,34,33,1,1,31,1,32,1,W,97.05882353,100,96.875
