"game_id","player_id","team_id","timeOnIce","assists","goals","shots","hits","powerPlayGoals","powerPlayAssists","penaltyMinutes","faceOffWins","faceoffTaken","takeaways","giveaways","shortHandedGoals","shortHandedAssists","blocked","plusMinus","evenTimeOnIce","shortHandedTimeOnIce","powerPlayTimeOnIce"
"2015020314","8471385","52",892,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,747,145,0
"2015020314","8476392","52",658,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,576,71,11
"2015020314","8474061","52",494,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,494,0,0
"2015020314","8469501","52",660,0,0,2,3,0,0,5,0,2,1,0,0,0,0,0,636,13,11
"2015020849","8473618","52",823,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,650,0,173
"2015020849","8471218","52",1230,0,1,5,2,0,0,0,0,0,0,0,0,0,0,1,976,52,202
"2015020849","8470834","52",1595,0,0,0,3,0,0,0,0,0,4,1,0,0,1,0,1219,213,163
"2015020849","8470828","52",1549,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1193,209,147
"2015020849","8477429","52",505,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,366,139,0
"2015020849","8473412","52",1145,0,0,2,0,0,0,0,9,21,0,0,0,0,0,0,830,113,202
"2015020849","8471217","52",1161,0,0,2,2,0,0,2,0,0,0,0,0,0,1,1,881,107,173
"2015020849","8476469","52",753,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,746,7,0
"2015020849","8475788","52",681,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,439,242,0
"2015020849","8471226","52",748,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,569,53,126
"2015020849","8474574","52",1086,1,0,2,1,0,0,2,0,0,0,0,0,0,2,1,889,55,142
"2015020849","8475279","52",826,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,685,55,86
"2015020849","8476885","52",1243,1,0,0,3,0,0,0,0,0,1,0,0,0,4,1,943,214,86
"2015020849","8477940","52",1058,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,856,0,202
"2015020849","8476460","52",1191,0,0,2,0,0,0,0,6,14,2,0,0,0,0,1,1011,7,173
"2015020849","8471385","52",788,0,0,2,1,0,0,0,0,0,1,0,0,0,4,0,570,218,0
"2015020849","8476392","52",742,0,0,1,0,0,0,2,1,12,0,0,0,0,0,0,565,177,0
"2015020849","8469501","52",414,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,347,67,0
"2015020849","8469508","12",681,0,0,0,0,0,0,0,4,6,1,0,0,0,1,0,512,169,0
"2015020849","8475807","12",1029,0,0,0,0,0,0,0,0,0,2,1,0,0,0,-1,843,179,7
"2015020849","8473533","12",1166,0,1,4,2,1,0,0,13,21,1,0,0,0,0,-1,717,177,272
"2015020849","8476858","12",924,0,0,2,6,0,0,2,0,0,0,0,0,0,1,0,910,0,14
"2015020849","8468493","12",1380,0,0,0,0,0,0,0,0,0,0,1,0,0,2,-1,1054,304,22
"2015020849","8476958","12",1329,0,0,0,0,0,0,0,0,0,4,0,0,0,3,-1,1015,306,8
"2015020849","8470595","12",1137,0,0,0,2,0,0,0,8,12,0,1,0,0,0,0,927,0,210
"2015020849","8471346","12",1003,0,0,2,0,0,0,2,0,0,1,2,0,0,1,0,769,0,234
"2015020849","8476437","12",900,0,0,2,0,0,0,2,7,7,0,2,0,0,0,0,667,0,233
"2015020849","8477488","12",1343,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,1034,69,240
"2015020849","8474661","12",670,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,670,0,0
"2015020849","8474052","12",375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0
"2015020849","8475784","12",917,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,652,29,236
"2015020849","8474062","12",587,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,422,0,165
"2015020849","8475250","12",751,0,0,6,1,0,0,0,0,0,1,0,0,0,0,-1,741,2,8
"2015020849","8478396","12",884,1,0,2,0,0,1,0,0,0,1,0,0,0,1,0,656,2,226
"2015020849","8477496","12",1004,2,0,0,0,0,2,0,3,5,0,3,0,0,0,0,591,194,219
"2015020849","8468639","12",1442,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,1057,69,316
"2017020586","8470966","20",1538,0,0,1,1,0,0,0,0,0,0,1,0,0,3,-1,1065,292,181
